request_id,partner_id,oatmeal,cornflakes,coconut,sugar,delivery_date,customer_order_id,duration_sec,status,start_time,porder_id,status number
43581,12,0,1,0,0,9/7/2020,63581,120,final,9/2/2020 8:00,1005648,1
43574,35,0,1,1,0,9/7/2020,63574,120,final,9/2/2020 8:02,1005649,1
43578,175,0,1,1,0,9/7/2020,63578,120,final,9/2/2020 8:04,1005650,1
43586,194,1,1,0,0,9/7/2020,63586,120,final,9/2/2020 8:06,1005651,1
43565,147,0,1,1,1,9/7/2020,63565,120,final,9/2/2020 8:08,1005652,1
43569,53,1,0,1,1,9/7/2020,63569,120,final,9/2/2020 8:10,1005653,1
43579,11,0,1,1,1,9/7/2020,63579,120,final,9/2/2020 8:12,1005654,1
43589,98,1,0,1,1,9/7/2020,63589,120,final,9/2/2020 8:14,1005655,1
43567,179,1,1,1,1,9/7/2020,63567,120,final,9/2/2020 8:16,1005656,1
43584,72,0,1,0,0,9/7/2020,63584,120,final,9/3/2020 8:00,1005657,1
43600,98,0,1,0,0,9/7/2020,63600,120,final,9/3/2020 8:02,1005658,1
43614,171,0,1,0,0,9/7/2020,63614,120,final,9/3/2020 8:04,1005659,1
43617,35,1,0,0,0,9/7/2020,63617,120,final,9/3/2020 8:06,1005660,1
43638,78,0,1,0,0,9/7/2020,63638,120,final,9/3/2020 8:08,1005661,1
43650,168,0,1,0,0,9/7/2020,63650,120,final,9/3/2020 8:10,1005662,1
43663,186,0,1,0,0,9/7/2020,63663,120,final,9/3/2020 8:12,1005663,1
43664,182,1,0,0,0,9/7/2020,63664,120,final,9/3/2020 8:14,1005664,1
43667,6,1,0,0,0,9/7/2020,63667,120,final,9/3/2020 8:16,1005665,1
43568,27,1,1,0,0,9/7/2020,63568,120,final,9/3/2020 8:18,1005666,1
43570,118,1,0,1,0,9/7/2020,63570,120,final,9/3/2020 8:20,1005667,1
43571,16,0,1,0,1,9/7/2020,63571,120,final,9/3/2020 8:22,1005668,1
43572,97,1,0,1,0,9/7/2020,63572,120,final,9/3/2020 8:24,1005669,1
43573,38,0,1,0,1,9/7/2020,63573,120,final,9/3/2020 8:26,1005670,1
43575,186,1,0,1,0,9/7/2020,63575,120,final,9/3/2020 8:28,1005671,1
43582,87,1,0,1,0,9/7/2020,63582,120,final,9/3/2020 8:30,1005672,1
43585,112,0,1,0,1,9/7/2020,63585,120,final,9/3/2020 8:32,1005673,1
43587,103,0,1,0,1,9/7/2020,63587,120,final,9/3/2020 8:34,1005674,1
43588,194,1,1,0,0,9/7/2020,63588,120,final,9/3/2020 8:36,1005675,1
